MUNICIPIO,FUNDACIÓN,DIRECCIÓN,TELÉFONO,COMANDANTE,CELULAR,E-MAIL
CALIMA DARIEN,FEBRERO 19 DE 1.969,CRA. 7 No. 7-53,2533122,CT. RODRIGO HERNANDEZ OSPINA,3155276765,bomberosvoluntariosdarien@hotmail.com
CANDELARIA,JULIO 19 DE 1.962,CALLE 10 No. 8-49,2648266,CT. JOSE EDGAR MARTÍNEZ RENGIFO,3122857545,bomberoscandelariavalle@yahoo .com
CARTAGO,MAYO 5 DE 1.953,CALLE 9 CRA. 3 ESQ,2136149 - 2125783,CT. JORGE ELIECER QUICENO,3148910370 - 3104339115,bomberosctgo@yahoo.es
COSTA RICA,AGOSTO 23 DE 1.983,CRA. 5 No. 4-58,2550575,CT. JOSÉ EULISES LÓPEZ BETANCOURT,3127188962,cbvcostarica@gmail.com
DAGUA,FEBRERO 26 DE 1.962,CRA. 11 No. 7-25,2450360 - 2451731,CT. MIGUEL ENRIQUE SARRIA BARONA,3128270445,bomberosdagua@hotmail.com
EL AGUILA,JULIO 9 DE 1.974,CRA. 4 No. 10-25,2066222,CT. WILSON DE JESÚS GALVIZ CARDONA,3136576648,bomberoselaguila@yahoo.es
EL BALSAL,JULIO 11 DE 1.969,CALLE PRINCIPAL,2157540,CT. JULIO CÉSAR OSPINA GALLO,3113375275,bomberoselbalsal@hotmail.com
EL CAIRO,FEBRERO 23 DE 1.977,CRA. 3 No. 8-24,2077133,CT. JOSE HUBERT HURTADO MONTES,3113539416,bomberoselcairo@hotmail.com
EL CERRITO,AGOSTO 13 DE 1.956,CALLE 7 CRA. 6,2571329,CT. LUZ MARY GRAJALES CASTILLO,3175179768,bomberoscerrito@hotmail.com
EL DOVIO,MARZO 18 DE 1.967,CRA. 8 No. 11-11,2229100,CT. LEONEL GARCIA MONTOYA,3122864358,cbeldovio@gmail.com
FLORIDA,FEBRERO 17 DE 1.961,CALLE 10 No. 2153,2642222,SUB TT. NELSON ELIED GÓMEZ HERNÁNDEZ,3122968848,bomberosflorida@yahoo.es
GINBEBRA,MARZO 11 DE 1.960,CRA. 4 CALLE 3,2561117 - 2561150,CT. JAIME TASCON CANO,3103894905 - 3104404600,bomberosginebra1103@hotmail.com
GUACARÍ,SEPTIEMBRE 21 DE 1.962,CALLE 4 CRA. 9,2531222,CT. MIGUEL SANTIAGO CAICEDO HOLGUÍN,3216418822,cbvguacari1962@yahoo.com.co
GUADALAJARA DE BUGA,NOVIEMBRE 11 DE 1.940,CALLE 2S No. 10-62,2266890,CT. HAROLD HUMBERTO ALZATE TEJADA,3164781225,bugabomberos@gmail.com
JAMUNDÍ,MARZO 6 DE 1.956,CRA. 11 No. 15-141,5166939 - 5166958,CT. EDUARDO SIERRA SALINAS,3137880946,jamundibombero@hotmail.com
LA CUMBRE,MAYO 22 DE 1.958,CRA. 6 No. 3-15,2459228,CT. FRANCIA ELENA DÍAZ GUZMAN,3183387111 - 3147068901,bomberoslacumbre1958@hotmail.com
LA UNIÓN,NOVIEMBRE 8 DE 1.964,CALLE 14 No. 6-01,2293121,CT. NILSA RUTH OROZCO MORENO,3136551099,cbvlaunionv@gmail.com
LA VICTORIA,NOVIEMBRE 24 DE 1.954,CRA. 8 No. 10-38,2202133,TTE. ALBEIRO ANTONIO GARCIA CEBALLOS,3166997863 - 3167514349,cbvlavictoria@hotmail.com
OBANDO,MAYO 19 DE 1.976,CRA. 2 No. 3-47,2053232,CT. BLANCA NUBIAMONTOYA,3154939362,bomberosvol.obando@gmail.com
PALMIRA,DICIEMBRE 3 DE 1.931,CRA. 27 No. 32-10,2756677,CT. WILLIAM MOYA MARTÍNEZ,3164252483,bomberospal@hotmail.com
PRADERA,NOVIEMBRE 26 DE 1.961,CRA. 11 No. 7-35,2674484,TTE. RODOLFO PAREDES LASPRILLA,3113541859,bomberospradera@hotmail.com
QUEREMAL,JULIO 19 DE 1.996,CRA. 9 CALLE 8,3738793,CT. LISANDRO ANTONIO MUÑOZ,3113049247,cbqueremal@hotmail.com
RESTREPO,FEBRERO 14 DE 1.954,CALLE 11 CRA. 8,2522733,CT. ROBERTO ARBELÁEZ RESTREPO,3103902686,bomberosrestrepo@yahoo.es
RIOFRIO,ABRIL 2 DE 1.968,CALLE 5 No. 9-73,2268181,CT. RODRIGO ALVARADO LOZANO,3127772516,cbv-riofrio@hotmail.com
ROLDANILLO,NOVIEMBRE 26 DE 1.930,CALLE 10 No. 10-06,2298608,TTE. HENRY REYES MOTATO,3113041348,heremo1@hotmail.com
ROZO,NOVIEMBRE 26 DE 1.968,CALLE 10 No. 14-03,2685325,TTE. JOSE ANTONIO MOSQUERA,3163995098,bomberos_rozo@hotmail.com
SALÓNICA,NOVIEMBRE 22 DE 1.974,CRA. 2 CALLE 9,2008299,TTE. CARLOS ALBERTO GIRALDO CAIPA,3146752160,cagika@hotmail.com
SAN ANTONIO,SEPTIEMBRE 23 DE 1.980,SAN ANTONIO,NULL,CT. ELMER LÚLIGO RESTREPO,3163919709 - 3156251398,bomberossanantonio47@hotmail.com
SAN PEDRO,FEBRERO 5 DE 1.965,CALLE 5 No. 4-36,2238388,CT. JORGE ENRIQUE PAREDES ALVARADO,3155058837 - 3165496752,bomberossanpedrovalle@hotmail.com
SANTA ELENA,SEPTIEMBRE 25 DE 1.988,CALLE 4 CRA. 7,2557305,CT. RUBILIA REYES TIGREROS,3113188565,bomberossantaelena@hotmail.com
SEVILLA,AGOSTO 7 DE 1.939,CRA. 51 No. 47-63,2196220,CT. JULIO CÉSAR CASTILLO BARBOSA,3116175428,jucastill@hotmail.com
TORO,"ABRIL 2 DE 1,965",CALLE 9 No. 2-09,2210525,TTE. DAGOBERTO BARRERA MENDEZ,3122769523,bomberostoro@hotmail.com
TRUJILLO,DICIEMBRE 10 DE 1.962,CRA. 21 No. 20-10,2267183,CT. JOSE ALBEIRO GIRALDO VELÁSQUEZ,3105177671,cbvtrujillovalle@hotmail.com
TULUA,SEPTIEMBRE 12 DE 1.930,CALLE 24 CRA. 28,2242222,CT. HERNÁN CORREA GARCIA,3176654130,bomberostulua@yahoo.es
ULLOA,JUNIO 20 DE 1.978,CALLE 4 No. 2-40,NULL,CT. LEONARDO FABIO VALDEZ MUNAR,3137534927 - 3122887938,bomberosulloa845@hotmail.com
VERSALLES,ENERO 7 DE 1.956,CRA. 7 No. 9-41,2213011,CT. EXCEDIEL RAMÍREZ MÁRQUEZ,3122702657,cuerpodebomberosversalles@hotmail.com
VIJES,MAYO 24 DE 1.974,CRA. 2 CALLE 11,2520650 -2520075,CT. PEDRO NEL MELO,NULL,bomberosvijes1@hotmail.com
VILLAGORGONA,JUNIO 9 DE 1.968,DIAG. 10 No. 13-72,2620081,TTE. JORGE ARSECIO DIAZ RUBIO,3183439200,bomberosvillagorgona@yahoo.com
YOTOCO,OCTUBRE 3 DE 1.968,CRA. 4 No. 5-58,2524555,CT. PEDRO NEL RAYO CANDELO,3136618276,bomberos_yotoco@yahoo.com
YUMBO,ABRIL 3 DE 1.953,CRA. 2 No. 4-29,6691727,CT. ALBERTO VALENCIA PUENTE,3137448989,cbvyumbo@bomberosyumbo.net
ZARZAL,NOVIEMBRE 1 DE 1.954,CRA. 10 CALLE 7,2206565,CT. ALBERTO AGUDELO SANZ,3108354879,cbomberoszarzal@yahoo.es
